,Job Title,Company Name,Job Category,Job Level,No. of Vacancy/s,Employment Type,Job Location,Offered Salary,Apply Before(Deadline),Education Level,Experience Required,Professional Skill Required,Age
0,Enterprise Support Representative,WorldLink Communications,"IT & Telecommunication  > Customer Support, Switching/ Router",Entry Level,[ 2 ],Full Time,"Dhankuta, Hile Panchthar, Phidim",Not Disclosed,"Jul. 01, 2025 23:55                                     (23 hours from now)",Under Graduate (Bachelor),Less than 1 year,Switching Routing Osi Tcp Ip,
1,Junior Network Administrator,WorldLink Communications,IT & Telecommunication  > Network Engineer/ Network Administrator,Entry Level,[ 2 ],Full Time,"Jawalakhel, Lalitpur",Not Disclosed,"Jul. 01, 2025 23:55                                     (23 hours from now)",Under Graduate (Bachelor),Less than 1 year,Ftth Networking Skills Time Management Monitoring Self Motivation,
2,Software Engineer - Configuration,ComplianceQuest Nepal,IT & Telecommunication,Mid Level,[ 5 ],Full Time,"Bakhundole, Lalitpur",Not Disclosed,"Jul. 02, 2025 23:55                                     (1 day, 23 hours from now)",Under Graduate (Bachelor),More than 1 year,Problem-Solving Skills Work Under Pressure Communication Attention to Detail,
3,Java Spring Boot Developer,Mercantile Group of Companies,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Not Disclosed,"Jul. 02, 2025 23:55                                     (1 day, 23 hours from now)",Under Graduate (Bachelor),More than 2 years,Communication Time Management Problem Solving Gcp Jenkins Gitlab Ci Azure,
4,Android Developer,Mercantile Group of Companies,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Not Disclosed,"Jul. 02, 2025 23:55                                     (1 day, 23 hours from now)",Under Graduate (Bachelor),More than 2 years,Attention to Detail Adaptability Skills Problem Solving Apis Flutter Kotlin SQL Java Ui/Ux,
5,Cloud Infrastructure and DevOps Engineer,Cloud Mandap,IT & Telecommunication,Senior Level,[ 1 ],Full Time,Remote,Not Disclosed,"Jul. 02, 2025 23:55                                     (1 day, 23 hours from now)",Graduate (Masters),More than 4 years,Communication Docker Documentation DevOps Python,
6,Regional Technical Officer,WorldLink Communications,"IT & Telecommunication  > IT System Management, System Engineer (Computer Network & System)",Senior Level,[ 2 ],Full Time,Butwal Gandaki,Not Disclosed,"Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Under Graduate (Bachelor),More than 5 years,Ccnp Jncis Jncie Cisco Certified Network Associate â€¦ Ftth,
7,Lead Engineer,Logpoint Nepal,IT & Telecommunication,Top Level,[ 1 ],Full Time,"The Plaza, Pulchowk, Lalitpur",Not Disclosed,"Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Under Graduate (Bachelor),More than 12 years,C++ Dns Dhcp Zeromq Lucene/Elasticsearch Java C#,
8,Flutter Developer,Tech Company,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Not Disclosed,"Jul. 04, 2025 23:55                                     (3 days, 23 hours from now)",Under Graduate (Bachelor),More than 1 year,Attention To Detail Troubleshooting Communication Software Engineering Programming,
9,AI / ML Engineer,Sterling Wells,IT & Telecommunication,Mid Level,[ 3 ],Full Time,"Tinkune, Kathmandu",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),More than 2 years,AWS Artificial Intelligence (Ai) Data Algorithm Machine Learning (ML) Cloud Computing,
10,UI / UX Developer,Tech Company,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Not Disclosed,"Jul. 11, 2025 23:55                                     (1 week, 3 days from now)",Under Graduate (Bachelor),More than 2 years,HTML Css Figma Adobe XD Sketching,
11,Unity Game Developer,Tech Company,"IT & Telecommunication  > Mobile Apps, Multimedia",Mid Level,[ 1 ],Full Time,Kathmandu,Not Disclosed,"Jul. 11, 2025 23:55                                     (1 week, 3 days from now)",Under Graduate (Bachelor),More than 2 years,Creative Thinking Communication Git Game Development Unity,
12,IT Assistant,Southwestern School Of Management And Technology,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Basundhara,Not Disclosed,"Jul. 10, 2025 23:55                                     (1 week, 2 days from now)",Under Graduate (Bachelor),More than 2 years,MS Office Suite Google Workspace Communication Teamwork Problem-Solving Skills,
13,AI Engineer,Paypoint Nepal,IT & Telecommunication,Mid Level,[ 2 ],Full Time,Kathmandu,Not Disclosed,"Jul. 04, 2025 23:55                                     (3 days, 23 hours from now)",Under Graduate (Bachelor),More than 3 years,Interpersonal Skills SQL PostgreSQL Database Management Python,
14,MIS Officer,Bencardo Galleria,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Not Disclosed,"Jul. 02, 2025 23:55                                     (1 day, 23 hours from now)",Under Graduate (Bachelor),More than 2 years,Data Accuracy & Integrity Report Writing & Presentation Time Management Analytical Thinking Business Communication Advanced Excel Skills,
15,Software Engineer - QC Automation,ComplianceQuest Nepal,IT & Telecommunication  > Test Engineer,Mid Level,[ 4 ],Full Time,"Bakhundole, Lalitpur",Not Disclosed,"Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Under Graduate (Bachelor),More than 2 years,Interpersonal Skills Attention to Detail Communication Sdlc Teamwork,
16,Non Technical Associate,Smartsites Nepal,IT & Telecommunication,Entry Level,[ 3 ],Full Time,Kathmandu,Not Disclosed,"Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Higher Secondary (+2/A Levels/Ib),Less than 1 year,Team Management Work Under Pressure Fast Learner English Writing Basic Computer,
17,WordPress Developer,Smartsites Nepal,IT & Telecommunication  > Web Developer/Web Designer,Entry Level,[ 3 ],Full Time,Kathmandu,"NRs. 20,000 - 25,000 Monthly","Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Under Graduate (Bachelor),Less than 1 year,Innovative Team Management Work Under Pressure Fast Learner Project Planning,
18,Scrum Master,ComplianceQuest Nepal,IT & Telecommunication  > Project Manager (Software),Mid Level,[ 3 ],Full Time,"Bakhundole, Lalitpur",Not Disclosed,"Jul. 03, 2025 23:55                                     (2 days, 23 hours from now)",Under Graduate (Bachelor),More than 4 years,Interpersonal Skills Attention to Detail Communication Agile Methodologies Power Bi Jira,
19,Software Engineer (Frontend),Zegal,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Lalitpur,Not Disclosed,"Jul. 04, 2025 23:55                                     (3 days, 23 hours from now)",Under Graduate (Bachelor),More than 2 years,Css Javascript Sass Wordpress TypeScript,
20,Search Ad Expert,Rain Local,IT & Telecommunication,Senior Level,[ 1 ],Full Time,"Jhamshikhel, Lalitpur",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),More than 5 years,,
21,Software Engineer (Java and Full Stack),NCHL,IT & Telecommunication  > Programmer/ Software Engineer,Mid Level,[ 3 ],Full Time,"Kamaladi, Kathmandu",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),More than 3 years,RDBMS Javascript Angular SQL REST API,
22,Junior / Associate Software Engineer (Java and Full Stack),NCHL,IT & Telecommunication  > Programmer/ Software Engineer,Mid Level,[ 6 ],Full Time,"Kamaladi, Kathmandu",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),More than 3 years,RDBMS SQL Linux REST API Java,
23,DevOps Engineer,NCHL,IT & Telecommunication  > Programmer/ Software Engineer,Mid Level,[ 2 ],Full Time,"Kamaladi, Kathmandu",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),More than 3 years,RDBMS MySQL Git PostgreSQL DevOps,
24,Fellowship - Engineering,NCHL,IT & Telecommunication  > Programmer/ Software Engineer,Mid Level,[ 5 ],Full Time,"Kamaladi, Kathmandu",Not Disclosed,"Jul. 09, 2025 23:55                                     (1 week, 1 day from now)",Under Graduate (Bachelor),Not Required,React Angular Linux REST API Java,
25,Developer - Self Service Terminals,Paypoint Nepal,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Not Disclosed,"Jul. 11, 2025 23:55                                     (1 week, 3 days from now)",Under Graduate (Bachelor),More than 2 years,Interpersonal Skills Innovative SQL MS SQL Server XML,
26,iOS Developer,Sharelook PTE,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Not Disclosed,"Jul. 25, 2025 23:55                                     (3 weeks, 3 days from now)",Under Graduate (Bachelor),More than 1 year,Svn Ios React Native Git Swift Objective-C,
27,System Admin - Intern,Synergy Tech Software,IT & Telecommunication,Entry Level,[ 4 ],Internship,"Pulchowk, Lalitpur",Not Disclosed,"Jul. 12, 2025 23:55                                     (1 week, 4 days from now)",Under Graduate (Bachelor),Not Required,Collaboration MS Office Suite Fast Learner Database Operations SQL,
28,Technical Support,,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Pako Newroad, Kathmandu",Not Disclosed,"Jul. 14, 2025 23:55                                     (1 week, 6 days from now)",Under Graduate (Bachelor),Equal to 1 year,Networking Skills Technical Support Multitasking MS Office Suite Troubleshooting,Less than or equal to 32 years
29,Full Stack Web Developer (PHP Laravel),Kantipur Holidays,IT & Telecommunication  > Web Developer/Web Designer,Mid Level,[ 3 ],"Full Time ,                                                                                       Part Time","Lazimpat , Kathmandu",Not Disclosed,"Jul. 14, 2025 23:55                                     (1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,HTML Javascript Webpage Designing Laravel Framework PHP,
